sample_index,reconstruction_error,error_above_threshold,severity_score,timestamp,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
1098,0.177606371107386,0.04759345544609053,0.36606713420749004,2024-10-31 13:53:36.467,0.23,0.26,0.3,0,7900088,10090580,10285968,600848652,17572629,1680434,2024-10-31 13:42:04.610
1123,0.17759319620639696,0.047580280545101494,0.36596579888305686,2024-10-31 14:18:36.497,0.07,0.14,0.19,0,7898848,10090604,10286660,601020730,17593454,1683457,2024-10-31 14:09:36.483
1122,0.1772647542249436,0.04725183856364812,0.3634395730863136,2024-10-31 14:17:36.447,0.19,0.17,0.2,0,7898724,10090604,10286636,601014507,17592982,1683337,2024-10-31 14:08:36.483
1121,0.177177220866834,0.04716430520553852,0.36276630645226904,2024-10-31 14:16:36.503,0.11,0.15,0.2,0,7898328,10090604,10286444,601008206,17592447,1683211,2024-10-31 14:07:36.490
1021,0.17712755677791406,0.04711464111661859,0.3623843129505671,2024-10-31 12:34:04.613,0.26,0.27,0.24,0,7898552,10090360,10283464,600363098,17519073,1665515,2024-10-31 12:27:04.710
1120,0.1769998848617983,0.046986969200502826,0.3614023188504704,2024-10-31 14:15:36.543,0.19,0.16,0.21,0,7898908,10090604,10286352,601001961,17591904,1683092,2024-10-31 14:06:36.497
1099,0.17680337109535174,0.04679045543405627,0.3598908246620122,2024-10-31 13:54:36.510,0.35,0.27,0.3,0,7898656,10090600,10286420,600869854,17575291,1680561,2024-10-31 13:45:41.013
1005,0.17668961323614737,0.046676697574851905,0.3590158511362994,2024-10-31 12:21:04.607,0.2,0.23,0.23,0,7907804,10090356,10282652,600270356,17510790,1663552,2024-10-31 12:12:07.683
1022,0.17665425545809676,0.046641339796801295,0.35874389524737277,2024-10-31 12:35:04.647,0.22,0.26,0.24,0,7897588,10090360,10283580,600369240,17519468,1665624,2024-10-31 12:28:04.657
972,0.1765043339192598,0.04649141825796432,0.3575907672056362,2024-10-31 11:50:04.570,0.17,0.18,0.15,0,7897524,10089956,10283116,599479925,17429637,1644373,2024-10-31 11:38:59.870
1124,0.17641385772355356,0.04640094206225809,0.35689486560812156,2024-10-31 14:19:36.487,0.07,0.13,0.19,0,7900324,10090604,10286644,601027055,17593979,1683572,2024-10-31 14:10:36.487
1004,0.17636914001086762,0.04635622434957215,0.3565509173745289,2024-10-31 12:20:04.650,0.2,0.23,0.23,0,7899016,10090356,10282652,600269347,17510751,1663506,2024-10-31 12:12:04.717
1100,0.17631701692287394,0.04630410126157847,0.3561500103744161,2024-10-31 13:55:36.503,0.2,0.24,0.29,0,7898908,10090600,10286264,600875711,17575936,1680675,2024-10-31 13:46:36.480
1023,0.17582417055524988,0.045811254893954406,0.35235926108526083,2024-10-31 12:36:04.643,0.56,0.34,0.26,0,7900452,10090360,10286148,600375417,17519818,1665751,2024-10-31 12:29:04.590
1101,0.1754432857059882,0.04543037004469272,0.3494296686880412,2024-10-31 13:56:36.503,0.26,0.25,0.29,0,7899160,10090600,10286532,600881984,17576555,1680797,2024-10-31 13:47:36.497
1125,0.17522221147004025,0.045209295808744776,0.34772926657934705,2024-10-31 14:20:36.513,0.14,0.13,0.18,0,7898912,10090604,10284588,601033287,17594463,1683694,2024-10-31 14:11:36.487
1102,0.175179506703944,0.04516659104264853,0.3474008010120683,2024-10-31 13:57:36.483,0.26,0.26,0.29,0,7899008,10090600,10286536,600888218,17577164,1680916,2024-10-31 13:48:36.503
1003,0.17507748037612303,0.04506456471482756,0.34661606107064,2024-10-31 12:19:04.890,0.22,0.23,0.23,0,7907800,10090356,10282856,600262966,17510129,1663319,2024-10-31 12:11:04.923
1024,0.1746067944608817,0.044593878799586234,0.34299575986558484,2024-10-31 12:37:04.637,0.43,0.32,0.26,1,7899556,10090400,10286148,600377636,17520002,1665872,2024-10-31 12:29:20.993
1103,0.17428954272332148,0.04427662706202601,0.3405556043168337,2024-10-31 13:58:35.580,0.23,0.24,0.29,0,7899100,10090600,10286520,600894454,17577734,1681033,2024-10-31 13:49:36.490
1002,0.17396822876299467,0.0439553131016992,0.3380842040048533,2024-10-31 12:18:04.663,0.22,0.23,0.23,0,7905940,10090552,10282856,600262544,17510098,1663280,2024-10-31 12:11:03.383
1126,0.17390879168304715,0.043895876021751684,0.33762704111726477,2024-10-31 14:21:36.470,0.09,0.12,0.18,0,7899516,10090604,10286584,601039553,17594964,1683808,2024-10-31 14:12:36.467
973,0.17353008527661068,0.04351716961531521,0.33471420430785837,2024-10-31 11:51:05.350,0.43,0.22,0.18,0,7899316,10090224,10284884,600071273,17487584,1649829,2024-10-31 11:42:09.847
1600,0.17347770649252556,0.04346479083123009,0.3343113306101284,2024-11-04 15:16:13.880,0.13,0.15,0.19,0,7912872,10092348,10308792,632809937,18473195,1742842,2024-11-04 15:07:13.817
1104,0.17340523198521077,0.0433923163239153,0.33375388978245246,2024-10-31 13:59:36.517,0.16,0.22,0.27,0,7900768,10090600,10286520,600900720,17578767,1681153,2024-10-31 13:50:36.500
1029,0.17329846388630443,0.04328554822500896,0.33293267830232165,2024-10-31 12:42:04.587,0.34,0.24,0.23,0,7907908,10090360,10286180,600407766,17522007,1666557,2024-10-31 12:34:04.360
1105,0.17311384923458084,0.04310093357328537,0.3315127066726988,2024-10-31 14:00:36.687,0.06,0.18,0.26,0,7900876,10090600,10286268,600906934,17579498,1681276,2024-10-31 13:51:36.710
1001,0.17303022999995898,0.043017314338663515,0.33086954568983384,2024-10-31 12:17:14.360,0.31,0.24,0.23,0,7900300,10090552,10284488,600256299,17509516,1663107,2024-10-31 12:10:03.947
1106,0.17276530562784512,0.04275238996654965,0.32883186835011446,2024-10-31 14:01:36.487,0.02,0.14,0.24,0,7898296,10090600,10285800,600913162,17580270,1681397,2024-10-31 13:52:36.483
1000,0.17241095501545098,0.04239803935415551,0.3261063651907416,2024-10-31 12:16:04.573,0.29,0.22,0.23,0,7899128,10090572,10284464,600250084,17508651,1662987,2024-10-31 12:09:04.893
1127,0.17232108145044048,0.04230816578914501,0.3254150987534544,2024-10-31 14:22:36.473,0.18,0.15,0.18,0,7900416,10090604,10286860,601045988,17595920,1683930,2024-10-31 14:13:35.573
1613,0.17217617420291456,0.04216325854161909,0.3243005383515985,2024-11-04 15:29:13.860,0.24,0.64,0.55,0,7912652,10092516,10308880,632899629,18483287,1744419,2024-11-04 15:20:13.873
974,0.17213521879711358,0.04212230313581811,0.3239855280651768,2024-10-31 11:52:04.570,0.25,0.2,0.17,0,7899876,10090164,10284864,600078256,17488477,1651206,2024-10-31 11:43:04.560
1107,0.17212662034909798,0.04211370468780251,0.3239193927279923,2024-10-31 14:02:36.470,0.07,0.13,0.23,0,7897764,10090600,10286056,600919409,17580983,1681516,2024-10-31 13:53:36.467
1117,0.17174516972708342,0.041732254065787955,0.3209854486650171,2024-10-31 14:12:36.467,0.11,0.15,0.21,0,7899604,10090604,10286556,600983178,17590088,1682728,2024-10-31 14:03:36.500
1118,0.17160876989270343,0.041595854231407964,0.319936323401683,2024-10-31 14:13:35.573,0.14,0.15,0.21,0,7899120,10090604,10286560,600989430,17590694,1682852,2024-10-31 14:04:36.490
1116,0.17143545466160567,0.041422539000310205,0.3186032617576439,2024-10-31 14:11:36.487,0.12,0.16,0.21,0,7898364,10090604,10286556,600976934,17589321,1682610,2024-10-31 14:02:36.470
1108,0.17133568128867044,0.04132276562737497,0.31783585051678565,2024-10-31 14:03:36.500,0.16,0.15,0.23,0,7898592,10094732,10286040,600925816,17581815,1681639,2024-10-31 13:54:36.510
1028,0.1712929686358009,0.04128005297450543,0.3175073242880469,2024-10-31 12:41:04.623,0.22,0.22,0.23,0,7897560,10090360,10284056,600400789,17521555,1666369,2024-10-31 12:33:04.580
1109,0.17124871801130254,0.04123580235000707,0.3171669686835803,2024-10-31 14:04:36.490,0.1,0.14,0.22,0,7899900,10094696,10286040,600932240,17583777,1681759,2024-10-31 13:55:36.503
1111,0.17107448340503406,0.04106156774373859,0.3158268356253972,2024-10-31 14:06:36.497,0.09,0.13,0.21,0,7896928,10090604,10286156,600945693,17585872,1682007,2024-10-31 13:57:36.483
1110,0.17101664615326512,0.04100373049196965,0.31538197788588135,2024-10-31 14:05:36.483,0.14,0.15,0.22,0,7899464,10090604,10286040,600938649,17584620,1681881,2024-10-31 13:56:36.503
1027,0.17090721199061626,0.04089429632932079,0.31454026026042675,2024-10-31 12:40:03.680,0.15,0.23,0.23,0,7898360,10090360,10284032,600394483,17521073,1666247,2024-10-31 12:32:04.610
1115,0.17089912189205986,0.04088620623076439,0.31447803491523507,2024-10-31 14:10:36.487,0.12,0.17,0.22,0,7898488,10090604,10286336,600970645,17588432,1682492,2024-10-31 14:01:36.487
1128,0.1708767963968797,0.040863880735584224,0.31430631739727455,2024-10-31 14:23:36.850,0.16,0.15,0.18,0,7899568,10090604,10110048,601052510,17596779,1684051,2024-10-31 14:14:36.517
1026,0.1708750456476721,0.040862129986376644,0.314292851433538,2024-10-31 12:39:04.877,0.11,0.24,0.23,0,7899120,10090360,10284052,600388907,17520690,1666113,2024-10-31 12:31:04.620
1114,0.17085897103576045,0.04084605537446498,0.3141692128563251,2024-10-31 14:09:36.483,0.15,0.18,0.22,0,7899288,10090604,10286616,600964315,17587858,1682368,2024-10-31 14:00:36.687
1025,0.17072022328363098,0.040707307622335515,0.31310202848142094,2024-10-31 12:38:04.587,0.2,0.28,0.24,0,7898436,10090380,10286652,600382141,17520327,1665992,2024-10-31 12:30:04.807
999,0.1704308292527919,0.040417913591496435,0.3108761416965034,2024-10-31 12:15:04.543,0.16,0.19,0.22,0,7908492,10090552,10284484,600243855,17508174,1662850,2024-10-31 12:08:04.557
975,0.17034650847648097,0.040333592815185504,0.3102275847752003,2024-10-31 11:53:04.563,0.15,0.18,0.16,0,7899388,10090312,10284864,600087355,17489551,1653397,2024-10-31 11:44:04.587
1113,0.17011594619446374,0.04010303053316827,0.3084542049471693,2024-10-31 14:08:36.483,0.2,0.19,0.23,0,7901352,10090604,10286636,600957972,17587310,1682246,2024-10-31 13:59:36.517
1112,0.17009583664868874,0.04008292098739327,0.3082995315005143,2024-10-31 14:07:36.490,0.27,0.18,0.23,0,7901112,10090604,10286140,600951546,17586717,1682126,2024-10-31 13:58:35.580
976,0.16942418138775722,0.03941126572646175,0.30313346582530637,2024-10-31 11:54:04.760,0.31,0.22,0.18,1,7901468,10090332,10284868,600094896,17490511,1654603,2024-10-31 11:45:04.577
998,0.16869740720614146,0.03868449154484599,0.2975434505724439,2024-10-31 12:14:04.590,0.24,0.22,0.23,0,7906604,10090552,10282332,600237618,17507669,1662723,2024-10-31 12:07:04.547
983,0.1681336435420057,0.03812072788071022,0.2932072378102868,2024-10-31 12:01:04.580,0.28,0.25,0.21,0,7908100,10090552,10284528,600141669,17495765,1658507,2024-10-31 11:52:04.570
984,0.16813185391352278,0.03811893825222731,0.2931934728049117,2024-10-31 12:02:04.557,0.34,0.27,0.22,0,7909652,10090552,10283536,600148080,17496480,1658777,2024-10-31 11:53:04.563
985,0.16777931980828695,0.03776640414699148,0.2904819413894157,2024-10-31 12:03:04.560,0.65,0.36,0.25,0,7907388,10090552,10283528,600154312,17498230,1658944,2024-10-31 11:54:04.760
1614,0.16750945474633686,0.037496539085041386,0.2884062625187631,2024-11-04 15:30:13.827,0.3,0.6,0.54,0,7912656,10092516,10308904,632905538,18484181,1744537,2024-11-04 15:21:13.853
981,0.16723573946321466,0.037222823801919186,0.2863009695043731,2024-10-31 11:59:04.573,0.16,0.21,0.19,0,7909660,10090552,10284516,600129495,17494479,1657877,2024-10-31 11:50:04.570
986,0.1672059798408561,0.03719306417956064,0.28607207207362806,2024-10-31 12:04:04.623,0.42,0.35,0.26,0,7909772,10090552,10283544,600160928,17499221,1659394,2024-10-31 11:55:03.650
982,0.16709840034438145,0.03708548468308598,0.285244619693782,2024-10-31 12:00:04.577,0.3,0.25,0.21,0,7909420,10090552,10284544,600135928,17495031,1658179,2024-10-31 11:51:05.350
997,0.16709810721629245,0.03708519155499698,0.2852423650863262,2024-10-31 12:13:04.610,0.33,0.23,0.23,0,7906672,10090552,10282368,600230471,17506897,1661770,2024-10-31 12:06:04.550
995,0.1666890738227607,0.036676158161465244,0.2820962669356061,2024-10-31 12:12:04.717,0.14,0.19,0.22,0,7905296,10090552,10284512,600217944,17504471,1661469,2024-10-31 12:04:04.623
987,0.16633727394032044,0.03632435827902497,0.2793903828267013,2024-10-31 12:05:04.557,0.46,0.36,0.27,0,7908456,10090552,10283512,600167223,17499690,1659569,2024-10-31 11:56:04.570
980,0.16628271129277056,0.03626979563147509,0.2789707118480731,2024-10-31 11:58:04.570,0.1,0.2,0.19,0,7909476,10090552,10284516,600123118,17493736,1657599,2024-10-31 11:49:04.570
977,0.1659746717942224,0.03596175613292693,0.2766014126366728,2024-10-31 11:55:03.650,0.42,0.26,0.19,1,7902088,10090548,10284500,600102776,17491709,1656039,2024-10-31 11:46:04.570
